Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","79","Germany","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","82658.409","X","International reliable sources",""
"OA","Annual population","79","Germany","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","83124.418","X","International reliable sources",""
"OA","Annual population","81","Ghana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","29121.465","X","International reliable sources",""
"OA","Annual population","81","Ghana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","29767.102","X","International reliable sources",""
"OA","Annual population","82","Gibraltar","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","33.728","X","International reliable sources",""
"OA","Annual population","82","Gibraltar","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","33.718","X","International reliable sources",""
"OA","Annual population","84","Greece","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","10569.45","X","International reliable sources",""
"OA","Annual population","84","Greece","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","10522.246","X","International reliable sources",""
"OA","Annual population","85","Greenland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","56.481","X","International reliable sources",""
"OA","Annual population","85","Greenland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","56.564","X","International reliable sources",""
"OA","Annual population","86","Grenada","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","110.874","X","International reliable sources",""
"OA","Annual population","86","Grenada","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","111.454","X","International reliable sources",""
"OA","Annual population","87","Guadeloupe","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","399.672","X","International reliable sources",""
"OA","Annual population","87","Guadeloupe","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","399.848","X","International reliable sources",""
"OA","Annual population","88","Guam","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","164.281","X","International reliable sources",""
"OA","Annual population","88","Guam","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","165.768","X","International reliable sources",""
